created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-07 01:10:15 -02,343,28.81000,70.16992,101237.80469,,,,
2019-11-07 01:10:36 -02,344,28.84000,70.10449,101235.06250,,,,
2019-11-07 01:10:57 -02,345,28.85000,70.03711,101238.42187,,,,
2019-11-07 01:11:17 -02,346,28.88000,69.97266,101242.89063,,,,
2019-11-07 01:11:38 -02,347,28.80000,70.00586,101240.00781,,,,
2019-11-07 01:11:59 -02,348,28.74000,70.10059,101243.67187,,,,
2019-11-07 01:12:19 -02,349,28.71000,70.12109,101241.49219,,,,
2019-11-07 01:12:40 -02,350,28.70000,70.12793,101245.92969,,,,
2019-11-07 01:13:01 -02,351,28.71000,70.22266,101247.51562,,,,
2019-11-07 01:13:21 -02,352,28.73000,70.16797,101246.83594,,,,
2019-11-07 01:13:42 -02,353,28.72000,70.17871,101238.10937,,,,
2019-11-07 01:14:03 -02,354,28.69000,70.09375,101238.81250,,,,
2019-11-07 01:14:23 -02,355,28.69000,70.18555,101238.46875,,,,
2019-11-07 01:14:44 -02,356,28.67000,70.18164,101237.90625,,,,
2019-11-07 01:15:05 -02,357,28.68000,70.19531,101238.89063,,,,
2019-11-07 01:15:26 -02,358,28.66000,70.13379,101239.64844,,,,
2019-11-07 01:15:46 -02,359,28.64000,70.20020,101241.28125,,,,
2019-11-07 01:16:07 -02,360,28.64000,70.19043,101240.57813,,,,
2019-11-07 01:16:28 -02,361,28.63000,70.20898,101237.89062,,,,
2019-11-07 01:16:48 -02,362,28.61000,70.17285,101239.57812,,,,
2019-11-07 01:17:09 -02,363,28.57000,70.24805,101241.07031,,,,
2019-11-07 01:17:30 -02,364,28.57000,70.29199,101242.34375,,,,
